evt,mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
0,1265.7321301998616,758.04236,0.6470947,14.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
1,1044.0422278878511,758.04236,0.6470947,14.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
2,1084.7615593364633,219.30379,0.221344,14.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
3,465.7095512628849,340.53,0.36016846,30.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
4,729.1265878941733,340.53,0.36016846,30.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
5,1126.6844379020204,132.93835,0.020572662,21.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
6,1007.0493059400565,132.93835,0.020572662,21.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
7,455.78509609962737,98.925125,0.09883118,16.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
8,480.1907781398631,98.925125,0.09883118,16.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
9,384.7129392389093,740.1087,0.04434967,18.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
10,623.3893850559095,143.6103,0.618042,27.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
11,538.4703941278214,143.6103,0.618042,27.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
12,1975.2593444094985,212.89032,1.161377,15.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
13,1585.1684762049376,212.89032,1.161377,15.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
14,808.5243102965112,227.46202,1.8664551,15.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
15,793.2596820775286,227.46202,1.8664551,15.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
16,604.921827646853,96.80245,0.5588379,25.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
17,626.5303682936188,96.80245,0.5588379,25.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
18,1114.3732740262103,190.06392,0.3236084,23.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
19,949.572318402219,55.98173,0.4376831,13.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
20,911.041470298078,204.52104,1.4099121,20.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
21,910.7295321059512,204.52104,1.4099121,20.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
22,1111.237853501321,163.58342,0.16793823,17.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
23,1075.8501228428229,163.58342,0.16793823,17.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
24,1335.396036275143,90.01121,1.1435547,24.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
25,728.4507466038182,250.73206,0.6657715,20.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
26,1558.5115089247572,250.73206,0.6657715,20.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
27,1089.651724355425,236.70912,1.9587402,30.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
28,953.2639864795296,236.70912,1.9587402,30.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
29,1385.1544961391198,220.34908,0.16964722,29.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
30,1355.7390644439129,220.34908,0.16964722,29.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
31,2251.2389114874563,166.19237,1.5612793,13.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
32,487.4227614876231,123.01551,0.3456421,11.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
33,987.643621502805,301.77017,1.0930176,11.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
34,1543.7974583994308,301.77017,1.0930176,11.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
35,1751.7393312894712,192.83443,1.310791,19.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
36,1274.0792470551487,192.83443,1.310791,19.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
37,596.6309782376671,129.1383,0.7126465,15.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
38,530.1367932763733,129.1383,0.7126465,15.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
39,637.9575602893029,129.1383,0.7126465,15.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
40,1569.0842259193764,358.2799,1.0844727,24.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
41,582.3579335699991,358.2799,1.0844727,24.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
42,1105.6367829391118,83.61507,0.6697998,32.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
43,1136.6794479909672,83.61507,0.6697998,32.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
44,2171.196719528694,361.4204,0.46209717,31.0,72.69830322265625,1301000.0,1290316.0,1295658.0,5342.0
